"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3152","test_edit_course[chromium]","LMS system","Sun Jan 11 17:56:03 UTC 2026","passed","Sun Jan 11 17:56:06 UTC 2026","COURSES","COURSES","",""
"","0","test_password_reset","tests.pytest","Sun Jan 11 17:56:05 UTC 2026","passed","Sun Jan 11 17:56:05 UTC 2026","TestUserAuthentication","test_markers","",""
"","1","test_regression_case","tests.pytest","Sun Jan 11 17:56:05 UTC 2026","passed","Sun Jan 11 17:56:05 UTC 2026","","test_markers","",""
"","2927","Создать курс","LMS system","Sun Jan 11 17:56:02 UTC 2026","passed","Sun Jan 11 17:56:05 UTC 2026","COURSES","COURSES","",""
"","0","test_login","tests.pytest","Sun Jan 11 17:56:05 UTC 2026","passed","Sun Jan 11 17:56:05 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Sun Jan 11 17:56:05 UTC 2026","passed","Sun Jan 11 17:56:05 UTC 2026","TestUserAuthentication","test_markers","",""
"","3243","Успешная авторизация с корректной почтой и паролем","LMS system","Sun Jan 11 17:55:53 UTC 2026","passed","Sun Jan 11 17:55:57 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1951","Registration with correct email, username and password","LMS system","Sun Jan 11 17:55:59 UTC 2026","passed","Sun Jan 11 17:56:01 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","0","test_forgot_password_link","tests.pytest","Sun Jan 11 17:56:05 UTC 2026","passed","Sun Jan 11 17:56:05 UTC 2026","TestUserInterface","test_markers","",""
"","1672","Check displaying of dashboard page","LMS system","Sun Jan 11 17:56:07 UTC 2026","passed","Sun Jan 11 17:56:08 UTC 2026","DASHBOARD","DASHBOARD","",""
"","1553","Navigation from login page to registration page","LMS system","Sun Jan 11 17:55:58 UTC 2026","passed","Sun Jan 11 17:55:59 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1900","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 11 17:55:53 UTC 2026","passed","Sun Jan 11 17:55:55 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1690","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 11 17:55:56 UTC 2026","passed","Sun Jan 11 17:55:57 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_critical_login","tests.pytest","Sun Jan 11 17:56:05 UTC 2026","passed","Sun Jan 11 17:56:05 UTC 2026","","test_markers","",""
"","1605","Check displaying of empty courses list","LMS system","Sun Jan 11 17:56:00 UTC 2026","passed","Sun Jan 11 17:56:02 UTC 2026","COURSES","COURSES","",""
"","1599","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 11 17:55:57 UTC 2026","passed","Sun Jan 11 17:55:59 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
