"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1738","Check displaying of dashboard page","LMS system","Sun Jan 18 16:41:30 UTC 2026","passed","Sun Jan 18 16:41:32 UTC 2026","DASHBOARD","DASHBOARD","",""
"","1524","Navigation from login page to registration page","LMS system","Sun Jan 18 16:41:21 UTC 2026","passed","Sun Jan 18 16:41:23 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","3546","test_edit_course[chromium]","LMS system","Sun Jan 18 16:41:26 UTC 2026","passed","Sun Jan 18 16:41:30 UTC 2026","COURSES","COURSES","",""
"","3467","Успешная авторизация с корректной почтой и паролем","LMS system","Sun Jan 18 16:41:17 UTC 2026","passed","Sun Jan 18 16:41:20 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_forgot_password_link","tests.pytest","Sun Jan 18 16:41:29 UTC 2026","passed","Sun Jan 18 16:41:29 UTC 2026","TestUserInterface","test_markers","",""
"","1","test_password_reset","tests.pytest","Sun Jan 18 16:41:29 UTC 2026","passed","Sun Jan 18 16:41:29 UTC 2026","TestUserAuthentication","test_markers","",""
"","1634","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 18 16:41:20 UTC 2026","passed","Sun Jan 18 16:41:22 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_regression_case","tests.pytest","Sun Jan 18 16:41:29 UTC 2026","passed","Sun Jan 18 16:41:29 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Sun Jan 18 16:41:29 UTC 2026","passed","Sun Jan 18 16:41:29 UTC 2026","TestUserAuthentication","test_markers","",""
"","1819","Registration with correct email, username and password","LMS system","Sun Jan 18 16:41:23 UTC 2026","passed","Sun Jan 18 16:41:25 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","1646","Check displaying of empty courses list","LMS system","Sun Jan 18 16:41:24 UTC 2026","passed","Sun Jan 18 16:41:25 UTC 2026","COURSES","COURSES","",""
"","2003","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 18 16:41:17 UTC 2026","passed","Sun Jan 18 16:41:19 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","3201","Создать курс","LMS system","Sun Jan 18 16:41:26 UTC 2026","passed","Sun Jan 18 16:41:29 UTC 2026","COURSES","COURSES","",""
"","1","test_logout","tests.pytest","Sun Jan 18 16:41:29 UTC 2026","passed","Sun Jan 18 16:41:29 UTC 2026","TestUserAuthentication","test_markers","",""
"","1708","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 18 16:41:19 UTC 2026","passed","Sun Jan 18 16:41:21 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1","test_critical_login","tests.pytest","Sun Jan 18 16:41:29 UTC 2026","passed","Sun Jan 18 16:41:29 UTC 2026","","test_markers","",""
