"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_regression_case","tests.pytest","Sun Jan 18 16:51:09 UTC 2026","passed","Sun Jan 18 16:51:09 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Sun Jan 18 16:51:09 UTC 2026","passed","Sun Jan 18 16:51:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Sun Jan 18 16:51:09 UTC 2026","passed","Sun Jan 18 16:51:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","1669","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 18 16:51:01 UTC 2026","passed","Sun Jan 18 16:51:02 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1681","Check displaying of dashboard page","LMS system","Sun Jan 18 16:51:10 UTC 2026","passed","Sun Jan 18 16:51:12 UTC 2026","DASHBOARD","DASHBOARD","",""
"","2942","test_edit_course[chromium]","LMS system","Sun Jan 18 16:51:07 UTC 2026","passed","Sun Jan 18 16:51:10 UTC 2026","COURSES","COURSES","",""
"","1559","Check displaying of empty courses list","LMS system","Sun Jan 18 16:51:04 UTC 2026","passed","Sun Jan 18 16:51:06 UTC 2026","COURSES","COURSES","",""
"","3126","Успешная авторизация с корректной почтой и паролем","LMS system","Sun Jan 18 16:50:57 UTC 2026","passed","Sun Jan 18 16:51:00 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1838","Registration with correct email, username and password","LMS system","Sun Jan 18 16:51:03 UTC 2026","passed","Sun Jan 18 16:51:05 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","0","test_forgot_password_link","tests.pytest","Sun Jan 18 16:51:09 UTC 2026","passed","Sun Jan 18 16:51:09 UTC 2026","TestUserInterface","test_markers","",""
"","0","test_logout","tests.pytest","Sun Jan 18 16:51:09 UTC 2026","passed","Sun Jan 18 16:51:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","1732","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 18 16:50:59 UTC 2026","passed","Sun Jan 18 16:51:01 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1745","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 18 16:50:57 UTC 2026","passed","Sun Jan 18 16:50:59 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_critical_login","tests.pytest","Sun Jan 18 16:51:09 UTC 2026","passed","Sun Jan 18 16:51:09 UTC 2026","","test_markers","",""
"","1556","Navigation from login page to registration page","LMS system","Sun Jan 18 16:51:01 UTC 2026","passed","Sun Jan 18 16:51:03 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2621","Создать курс","LMS system","Sun Jan 18 16:51:06 UTC 2026","passed","Sun Jan 18 16:51:08 UTC 2026","COURSES","COURSES","",""
