"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1880","Registration with correct email, username and password","LMS system","Tue Jan 13 21:52:43 UTC 2026","passed","Tue Jan 13 21:52:45 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","0","test_critical_login","tests.pytest","Tue Jan 13 21:52:49 UTC 2026","passed","Tue Jan 13 21:52:49 UTC 2026","","test_markers","",""
"","1570","Check displaying of empty courses list","LMS system","Tue Jan 13 21:52:44 UTC 2026","passed","Tue Jan 13 21:52:46 UTC 2026","COURSES","COURSES","",""
"","1712","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 21:52:40 UTC 2026","passed","Tue Jan 13 21:52:41 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1615","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 21:52:41 UTC 2026","passed","Tue Jan 13 21:52:43 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_regression_case","tests.pytest","Tue Jan 13 21:52:49 UTC 2026","passed","Tue Jan 13 21:52:49 UTC 2026","","test_markers","",""
"","3276","Успешная авторизация с корректной почтой и паролем","LMS system","Tue Jan 13 21:52:37 UTC 2026","passed","Tue Jan 13 21:52:41 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1506","Navigation from login page to registration page","LMS system","Tue Jan 13 21:52:42 UTC 2026","passed","Tue Jan 13 21:52:43 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_forgot_password_link","tests.pytest","Tue Jan 13 21:52:49 UTC 2026","passed","Tue Jan 13 21:52:49 UTC 2026","TestUserInterface","test_markers","",""
"","2965","test_edit_course[chromium]","LMS system","Tue Jan 13 21:52:47 UTC 2026","passed","Tue Jan 13 21:52:50 UTC 2026","COURSES","COURSES","",""
"","1","test_password_reset","tests.pytest","Tue Jan 13 21:52:49 UTC 2026","passed","Tue Jan 13 21:52:49 UTC 2026","TestUserAuthentication","test_markers","",""
"","1928","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 21:52:37 UTC 2026","passed","Tue Jan 13 21:52:39 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2653","Создать курс","LMS system","Tue Jan 13 21:52:46 UTC 2026","passed","Tue Jan 13 21:52:49 UTC 2026","COURSES","COURSES","",""
"","0","test_logout","tests.pytest","Tue Jan 13 21:52:49 UTC 2026","passed","Tue Jan 13 21:52:49 UTC 2026","TestUserAuthentication","test_markers","",""
"","1682","Check displaying of dashboard page","LMS system","Tue Jan 13 21:52:50 UTC 2026","passed","Tue Jan 13 21:52:52 UTC 2026","DASHBOARD","DASHBOARD","",""
"","0","test_login","tests.pytest","Tue Jan 13 21:52:49 UTC 2026","passed","Tue Jan 13 21:52:49 UTC 2026","TestUserAuthentication","test_markers","",""
