"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","Tue Jan 13 21:01:38 UTC 2026","passed","Tue Jan 13 21:01:38 UTC 2026","","test_markers","",""
"","1665","Check displaying of dashboard page","LMS system","Tue Jan 13 21:01:39 UTC 2026","passed","Tue Jan 13 21:01:41 UTC 2026","DASHBOARD","DASHBOARD","",""
"","1548","Check displaying of empty courses list","LMS system","Tue Jan 13 21:01:33 UTC 2026","passed","Tue Jan 13 21:01:35 UTC 2026","COURSES","COURSES","",""
"","1","test_regression_case","tests.pytest","Tue Jan 13 21:01:38 UTC 2026","passed","Tue Jan 13 21:01:38 UTC 2026","","test_markers","",""
"","0","test_password_reset","tests.pytest","Tue Jan 13 21:01:38 UTC 2026","passed","Tue Jan 13 21:01:38 UTC 2026","TestUserAuthentication","test_markers","",""
"","1523","Navigation from login page to registration page","LMS system","Tue Jan 13 21:01:31 UTC 2026","passed","Tue Jan 13 21:01:32 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","3178","Успешная авторизация с корректной почтой и паролем","LMS system","Tue Jan 13 21:01:26 UTC 2026","passed","Tue Jan 13 21:01:30 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1","test_login","tests.pytest","Tue Jan 13 21:01:38 UTC 2026","passed","Tue Jan 13 21:01:38 UTC 2026","TestUserAuthentication","test_markers","",""
"","1689","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 21:01:30 UTC 2026","passed","Tue Jan 13 21:01:32 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1759","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 21:01:29 UTC 2026","passed","Tue Jan 13 21:01:30 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1881","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 21:01:26 UTC 2026","passed","Tue Jan 13 21:01:28 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2710","Создать курс","LMS system","Tue Jan 13 21:01:35 UTC 2026","passed","Tue Jan 13 21:01:38 UTC 2026","COURSES","COURSES","",""
"","0","test_forgot_password_link","tests.pytest","Tue Jan 13 21:01:38 UTC 2026","passed","Tue Jan 13 21:01:38 UTC 2026","TestUserInterface","test_markers","",""
"","1800","Registration with correct email, username and password","LMS system","Tue Jan 13 21:01:32 UTC 2026","passed","Tue Jan 13 21:01:34 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","2879","test_edit_course[chromium]","LMS system","Tue Jan 13 21:01:36 UTC 2026","passed","Tue Jan 13 21:01:39 UTC 2026","COURSES","COURSES","",""
"","0","test_logout","tests.pytest","Tue Jan 13 21:01:38 UTC 2026","passed","Tue Jan 13 21:01:38 UTC 2026","TestUserAuthentication","test_markers","",""
