"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_password_reset","tests.pytest","Sat Jan 10 13:52:23 UTC 2026","passed","Sat Jan 10 13:52:23 UTC 2026","TestUserAuthentication","test_markers","",""
"","1659","Check displaying of dashboard page","LMS system","Sat Jan 10 13:52:24 UTC 2026","passed","Sat Jan 10 13:52:26 UTC 2026","DASHBOARD","DASHBOARD","",""
"","0","test_logout","tests.pytest","Sat Jan 10 13:52:23 UTC 2026","passed","Sat Jan 10 13:52:23 UTC 2026","TestUserAuthentication","test_markers","",""
"","3327","Успешная авторизация с корректной почтой и паролем","LMS system","Sat Jan 10 13:52:11 UTC 2026","passed","Sat Jan 10 13:52:14 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1899","Registration with correct email, username and password","LMS system","Sat Jan 10 13:52:17 UTC 2026","passed","Sat Jan 10 13:52:19 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","1582","Navigation from login page to registration page","LMS system","Sat Jan 10 13:52:15 UTC 2026","passed","Sat Jan 10 13:52:17 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_critical_login","tests.pytest","Sat Jan 10 13:52:23 UTC 2026","passed","Sat Jan 10 13:52:23 UTC 2026","","test_markers","",""
"","1615","Check displaying of empty courses list","LMS system","Sat Jan 10 13:52:18 UTC 2026","passed","Sat Jan 10 13:52:20 UTC 2026","COURSES","COURSES","",""
"","2120","Авторизация с невалидной почтой или паролем","LMS system","Sat Jan 10 13:52:11 UTC 2026","passed","Sat Jan 10 13:52:13 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2572","Создать курс","LMS system","Sat Jan 10 13:52:20 UTC 2026","passed","Sat Jan 10 13:52:22 UTC 2026","COURSES","COURSES","",""
"","0","test_forgot_password_link","tests.pytest","Sat Jan 10 13:52:23 UTC 2026","passed","Sat Jan 10 13:52:23 UTC 2026","TestUserInterface","test_markers","",""
"","1796","Авторизация с невалидной почтой или паролем","LMS system","Sat Jan 10 13:52:13 UTC 2026","passed","Sat Jan 10 13:52:15 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2823","test_edit_course[chromium]","LMS system","Sat Jan 10 13:52:21 UTC 2026","passed","Sat Jan 10 13:52:24 UTC 2026","COURSES","COURSES","",""
"","0","test_regression_case","tests.pytest","Sat Jan 10 13:52:23 UTC 2026","passed","Sat Jan 10 13:52:23 UTC 2026","","test_markers","",""
"","1682","Авторизация с невалидной почтой или паролем","LMS system","Sat Jan 10 13:52:15 UTC 2026","passed","Sat Jan 10 13:52:16 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_login","tests.pytest","Sat Jan 10 13:52:23 UTC 2026","passed","Sat Jan 10 13:52:23 UTC 2026","TestUserAuthentication","test_markers","",""
