"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1967","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 20:50:42 UTC 2026","passed","Tue Jan 13 20:50:44 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_regression_case","tests.pytest","Tue Jan 13 20:50:53 UTC 2026","passed","Tue Jan 13 20:50:53 UTC 2026","","test_markers","",""
"","2519","Создать курс","LMS system","Tue Jan 13 20:50:51 UTC 2026","passed","Tue Jan 13 20:50:53 UTC 2026","COURSES","COURSES","",""
"","1640","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 20:50:45 UTC 2026","passed","Tue Jan 13 20:50:47 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_login","tests.pytest","Tue Jan 13 20:50:53 UTC 2026","passed","Tue Jan 13 20:50:53 UTC 2026","TestUserAuthentication","test_markers","",""
"","1701","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 20:50:44 UTC 2026","passed","Tue Jan 13 20:50:46 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1640","Check displaying of empty courses list","LMS system","Tue Jan 13 20:50:49 UTC 2026","passed","Tue Jan 13 20:50:50 UTC 2026","COURSES","COURSES","",""
"","1474","Navigation from login page to registration page","LMS system","Tue Jan 13 20:50:46 UTC 2026","passed","Tue Jan 13 20:50:48 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2791","test_edit_course[chromium]","LMS system","Tue Jan 13 20:50:52 UTC 2026","passed","Tue Jan 13 20:50:54 UTC 2026","COURSES","COURSES","",""
"","1674","Check displaying of dashboard page","LMS system","Tue Jan 13 20:50:55 UTC 2026","passed","Tue Jan 13 20:50:56 UTC 2026","DASHBOARD","DASHBOARD","",""
"","0","test_critical_login","tests.pytest","Tue Jan 13 20:50:53 UTC 2026","passed","Tue Jan 13 20:50:53 UTC 2026","","test_markers","",""
"","0","test_logout","tests.pytest","Tue Jan 13 20:50:53 UTC 2026","passed","Tue Jan 13 20:50:53 UTC 2026","TestUserAuthentication","test_markers","",""
"","1920","Registration with correct email, username and password","LMS system","Tue Jan 13 20:50:48 UTC 2026","passed","Tue Jan 13 20:50:50 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","1","test_forgot_password_link","tests.pytest","Tue Jan 13 20:50:53 UTC 2026","passed","Tue Jan 13 20:50:53 UTC 2026","TestUserInterface","test_markers","",""
"","0","test_password_reset","tests.pytest","Tue Jan 13 20:50:53 UTC 2026","passed","Tue Jan 13 20:50:53 UTC 2026","TestUserAuthentication","test_markers","",""
"","3058","Успешная авторизация с корректной почтой и паролем","LMS system","Tue Jan 13 20:50:42 UTC 2026","passed","Tue Jan 13 20:50:45 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
